taxonID	scientificName	old_page_id	new_page_id	status
4e62d343-6e90-32b7-a2cd-c3d36e3580ea	Frankenia pulverulenta L.	33355180		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.volume=1&rft.spage=332&rft_id=https://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
239b9d48-83d2-3f83-a36a-e748b77374de	Pleurothallis matudana C.Schweinf.		7811721	ok
363e1e15-05ff-35c4-a436-3d2920759eb9	Wissadula andina Britton	10415229	10415229	ok
3883a957-b1f6-3bb2-81e1-9a3345661ba2	Darwinia vestita (Endl.) Benth.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.volume=9&rft.spage=180&rft_id=https://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
546912eb-c2cb-38b6-8b33-69e9710157a5	Begonia oxyloba Welw. ex Hook.fil.	33355908		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.volume=2&rft.spage=578&rft_id=https://www.biodiversitylibrary.org/bibliography/42&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
9232ec44-7606-3f62-9841-44d2314a2310	Clintonia uniflora (Menzies ex Schult. & Schult.f.) Kunth	33068938		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1850&rft.volume=5&rft.spage=159&rft_id=https://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
067d5b6e-d81e-3c7f-a532-98e206fc6487	Stigmaphyllon retusum Griseb. & Oerst.			skip:unparseable_collation:1853(1-2): 45
aab2e75e-2021-30fb-a4b8-5b35e90f97c8	Salvia wagneriana Pol.	33333332		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1878&rft.volume=41&rft.spage=591&rft_id=https://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
c5c28413-ec0c-3963-aca4-a80a5df476ec	Heliconia librata Griggs	713406		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.volume=30&rft.spage=649&rft_id=https://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
220a1e9c-2091-3001-8051-8c365615049e	Geum triflorum Pursh	33189919		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1813&rft.volume=2&rft.spage=736&rft_id=https://www.biodiversitylibrary.org/bibliography/100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
