strategy	old_quality	new_quality	taxonID	scientificName	ipni_name
autonym	fuzzy_top_copy	exact_top_copy_autonym	005c6f7f-3ac5-30fa-83c6-0547b871c0d4	Penstemon attenuatus var. attenuatus	Penstemon attenuatus
autonym	fuzzy_top_copy	exact_top_copy_autonym	a74bee7e-a157-362d-938d-0f9af3894fe7	Dialium occidentale subsp. occidentale	Dialium occidentale
autonym	fuzzy_top_copy	exact_top_copy_autonym	deea829d-2ad0-3a67-96cc-ebd1ec9037d1	Lomatium graveolens var. graveolens	Lomatium graveolens
autonym	fuzzy_top_copy	exact_top_copy_autonym	51772044-8873-345e-8a51-6a4650336595	Neillia thibetica var. thibetica	Neillia thibetica
autonym	fuzzy_top_copy	exact_top_copy_autonym	c00a0399-47b6-3d9f-8a8a-1419e860c3aa	Teucrium polium subsp. polium	Teucrium polium
autonym	fuzzy_top_copy	exact_top_copy_autonym	fb851503-65db-3dce-b7c8-360118646e82	Limeum myosotis var. myosotis	Limeum myosotis
autonym	fuzzy_top_copy	exact_top_copy_autonym	8060a86c-2bed-3941-bd45-138a0f1c64fe	Cerastium arvense subsp. arvense	Cerastium arvense
autonym	fuzzy_top_copy	exact_top_copy_autonym	7cfeccb5-6c28-3d26-aa49-303b080ae939	Enicostema axillare subsp. axillare	Enicostema axillare
autonym	fuzzy_top_copy	exact_top_copy_autonym	c568a4ed-7e7b-39b3-9285-a1dc875ffec1	Ixora scheffleri subsp. scheffleri	Ixora scheffleri
autonym	fuzzy_top_copy	exact_top_copy_autonym	a295d4c6-d5d0-3c98-842f-f0136c301dea	Limeum fenestratum var. fenestratum	Limeum fenestratum
autonym	fuzzy_top_copy	exact_top_copy_autonym	02afcd33-48e9-35b2-a336-393dcb3254d7	Lupinus sericeus subsp. sericeus	Lupinus sericeus
autonym	fuzzy_top_copy	exact_top_copy_autonym	9110ea29-2e8f-37d9-912b-bb4c19dd3f83	Dalbergia boehmii subsp. boehmii	Dalbergia boehmii
autonym	fuzzy_top_copy	exact_top_copy_autonym	539768cc-4071-303a-b308-ad53dfde6cfb	Frangula discolor var. discolor	Frangula discolor
autonym	fuzzy_top_copy	exact_top_copy_autonym	78d65b18-21eb-38ac-b953-db83901957d3	Paeonia clusii subsp. clusii	Paeonia clusii
autonym	fuzzy_top_copy	exact_top_copy_autonym	00cfe102-46d7-3444-a5eb-24619a11d528	Geniostoma ligustrifolium var. ligustrifolium	Geniostoma ligustrifolium
autonym	fuzzy_top_copy	exact_top_copy_autonym	ba381d0a-d8b7-3aea-82e7-1cac80c5a300	Begonia cucullata var. cucullata	Begonia cucullata
autonym	fuzzy_top_copy	exact_top_copy_autonym	35c20ebd-dbe8-3111-aa9b-218e089f01af	Calceolaria mexicana subsp. mexicana	Calceolaria mexicana
autonym	fuzzy_top_copy	exact_top_copy_autonym	1dd1422e-e1e4-3ca6-bfab-bb8b37a644a4	Euphorbia monteiroi subsp. monteiroi	Euphorbia monteiroi
autonym	fuzzy_top_copy	exact_top_copy_autonym	30e17677-f42f-3173-9e59-fccf954bf9eb	Meconopsis integrifolia subsp. integrifolia	Meconopsis integrifolia
autonym	fuzzy_top_copy	exact_top_copy_autonym	75700fc5-ff3b-3d67-b830-e0ee838c6103	Polyscias vieillardii subsp. vieillardii	Polyscias vieillardii
autonym	fuzzy_top_copy	exact_top_copy_autonym	00f5ac7c-ccca-3b98-95df-23535804410f	Hypoestes forskaolii subsp. forskaolii	Hypoestes forskaolii
autonym	no_match	exact_top_copy_autonym	25174f11-7004-39ad-a6d3-bba234b2f7a7	Chascanum pinnatifidum var. pinnatifidum	Chascanum pinnatifidum
autonym	fuzzy_top_copy	exact_top_copy_autonym	94dcf925-a9e6-3521-9572-5679674fff00	Solidago virgaurea subsp. virgaurea	Solidago virgaurea
autonym	fuzzy_top_copy	exact_top_copy_autonym	cbabf7ca-e5fd-32bc-82fe-716750caf5c8	Leptodermis pilosa var. pilosa	Leptodermis pilosa
autonym	fuzzy_top_copy	exact_top_copy_autonym	b7b43c9b-e758-31c9-a3bf-66e525a0075e	Otiophora pauciflora subsp. pauciflora	Otiophora pauciflora
